ModelName,ModelNumber,Batch,MaxRank,Reaction,Normal_React,Species,Normal_Species,Countback,Normal_Countback
EG,19,L1,13,5,0.333333333,10,0.75,1,0
EG,22,L1,13,6,0.416666667,11,0.833333333,1,0
EG,23,L1,12,3,0.181818182,5,0.363636364,1,0
EG,24,L1,12,2,0.090909091,3,0.181818182,1,0
EG,5,L1,13,6,0.416666667,11,0.833333333,1,0
EG,19,L2,13,5,0.333333333,10,0.75,1,0
EG,22,L2,13,6,0.416666667,11,0.833333333,1,0
EG,23,L2,12,3,0.181818182,5,0.363636364,1,0
EG,24,L2,12,2,0.090909091,3,0.181818182,1,0
EG,5,L2,13,6,0.416666667,11,0.833333333,1,0
EG,19,L3,13,5,0.333333333,10,0.75,1,0
EG,22,L3,13,6,0.416666667,11,0.833333333,1,0
EG,23,L3,12,3,0.181818182,5,0.363636364,1,0
EG,24,L3,12,2,0.090909091,3,0.181818182,1,0
EG,5,L3,13,6,0.416666667,11,0.833333333,1,0
EG,19,L4,13,5,0.333333333,10,0.75,1,0
EG,22,L4,13,6,0.416666667,11,0.833333333,1,0
EG,23,L4,12,3,0.181818182,5,0.363636364,1,0
EG,24,L4,12,2,0.090909091,3,0.181818182,1,0
EG,5,L4,13,6,0.416666667,11,0.833333333,1,0
EG,19,L5,13,5,0.333333333,10,0.75,1,0
EG,22,L5,13,6,0.416666667,11,0.833333333,1,0
EG,23,L5,12,3,0.181818182,5,0.363636364,1,0
EG,24,L5,12,2,0.090909091,3,0.181818182,1,0
EG,5,L5,13,6,0.416666667,11,0.833333333,1,0
EG,19,L1-I,13,5,0.333333333,10,0.75,1,0
EG,22,L1-I,13,6,0.416666667,11,0.833333333,1,0
EG,23,L1-I,12,3,0.181818182,5,0.363636364,1,0
EG,24,L1-I,12,2,0.090909091,3,0.181818182,1,0
EG,5,L1-I,13,6,0.416666667,11,0.833333333,1,0
EG,19,L2-I,13,5,0.333333333,10,0.75,1,0
EG,22,L2-I,13,6,0.416666667,11,0.833333333,1,0
EG,23,L2-I,12,3,0.181818182,5,0.363636364,1,0
EG,24,L2-I,12,2,0.090909091,3,0.181818182,1,0
EG,5,L2-I,13,6,0.416666667,11,0.833333333,1,0
EG,19,L3-I,13,5,0.333333333,10,0.75,1,0
EG,22,L3-I,13,6,0.416666667,11,0.833333333,1,0
EG,23,L3-I,12,3,0.181818182,5,0.363636364,1,0
EG,24,L3-I,12,2,0.090909091,3,0.181818182,1,0
EG,5,L3-I,13,6,0.416666667,11,0.833333333,1,0
EG,19,L4-I,13,5,0.333333333,10,0.75,1,0
EG,22,L4-I,13,6,0.416666667,11,0.833333333,1,0
EG,23,L4-I,12,3,0.181818182,5,0.363636364,1,0
EG,24,L4-I,12,2,0.090909091,3,0.181818182,1,0
EG,5,L4-I,13,6,0.416666667,11,0.833333333,1,0
EG,19,L5-I,13,5,0.333333333,10,0.75,1,0
EG,22,L5-I,13,6,0.416666667,11,0.833333333,1,0
EG,23,L5-I,12,3,0.181818182,5,0.363636364,1,0
EG,24,L5-I,12,2,0.090909091,3,0.181818182,1,0
EG,5,L5-I,13,6,0.416666667,11,0.833333333,1,0
H1,1,L1-F,12,12,1,12,1,2,0.090909091
H1,10,L1-F,12,12,1,12,1,5,0.363636364
H1,12,L1-F,12,1,0,12,1,7,0.545454545
H1,13,L1-F,12,12,1,12,1,7,0.545454545
H1,14,L1-F,11,11,1,11,1,11,1
H1,15,L1-F,12,12,1,12,1,3,0.181818182
H1,16,L1-F,12,12,1,12,1,8,0.636363636
H1,17,L1-F,12,12,1,12,1,10,0.818181818
H1,19,L1-F,12,12,1,12,1,5,0.363636364
H1,2,L1-F,12,11,0.909090909,12,1,7,0.545454545
H1,20,L1-F,12,12,1,12,1,7,0.545454545
H1,25,L1-F,11,8,0.7,10,0.9,2,0.1
H1,4,L1-F,12,12,1,12,1,3,0.181818182
H1,6,L1-F,11,11,1,11,1,5,0.4
H1,8,L1-F,12,12,1,12,1,10,0.818181818
H1,9,L1-F,12,11,0.909090909,12,1,12,1
H1,1,L1-ICSE,12,12,1,12,1,6,0.454545455
H1,10,L1-ICSE,12,12,1,12,1,7,0.545454545
H1,12,L1-ICSE,12,1,0,12,1,7,0.545454545
H1,13,L1-ICSE,12,11,0.909090909,12,1,6,0.454545455
H1,14,L1-ICSE,11,11,1,11,1,11,1
H1,15,L1-ICSE,12,12,1,12,1,3,0.181818182
H1,16,L1-ICSE,12,12,1,12,1,9,0.727272727
H1,17,L1-ICSE,12,12,1,12,1,10,0.818181818
H1,19,L1-ICSE,12,12,1,12,1,6,0.454545455
H1,2,L1-ICSE,12,11,0.909090909,12,1,7,0.545454545
H1,20,L1-ICSE,12,12,1,12,1,6,0.454545455
H1,25,L1-ICSE,11,7,0.6,10,0.9,2,0.1
H1,4,L1-ICSE,12,12,1,12,1,1,0
H1,6,L1-ICSE,11,11,1,11,1,3,0.2
H1,8,L1-ICSE,12,12,1,12,1,10,0.818181818
H1,9,L1-ICSE,12,11,0.909090909,12,1,12,1
H1,1,L1-I,12,12,1,12,1,1,0
